,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,8478000000.0,6980000000.0,7747000000.0,7741000000.0
Minority Interest,,,,
Net Income,6523000000.0,5349000000.0,5919000000.0,5966000000.0
Selling General Administrative,,,,-13000000.0
Gross Profit,12747000000.0,11430000000.0,11876000000.0,11743000000.0
Ebit,9363000000.0,7875000000.0,8600000000.0,8530000000.0
Operating Income,9363000000.0,7875000000.0,8600000000.0,8530000000.0
Other Operating Expenses,1176000000.0,1345000000.0,1060000000.0,1022000000.0
Interest Expense,-1157000000.0,-1141000000.0,-1050000000.0,-870000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1955000000.0,1631000000.0,1828000000.0,1775000000.0
Total Revenue,21804000000.0,19533000000.0,21708000000.0,22832000000.0
Total Operating Expenses,12441000000.0,11658000000.0,13108000000.0,14302000000.0
Cost Of Revenue,9057000000.0,8103000000.0,9832000000.0,11089000000.0
Total Other Income Expense Net,-885000000.0,-895000000.0,-853000000.0,-789000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,6523000000.0,5349000000.0,5919000000.0,5966000000.0
Net Income Applicable To Common Shares,6523000000.0,5349000000.0,5919000000.0,5966000000.0
