Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days
0Q,1,2022-03-31,,1.28,1.25,1.31,,3.0,,3068730000.0,2996440000.0,3059410000.0,3.0,,,1.28,1.27,1.25,1.28,1.29,0.0,0.0,0.0,
+1Q,1,2022-06-30,0.023,1.33,1.31,1.35,1.3,3.0,0.023,3094960000.0,3071300000.0,3109640000.0,3.0,,,1.33,1.37,1.34,1.36,1.21,2.0,2.0,1.0,
0Y,1,2022-12-31,0.046,5.42,5.23,5.5,5.18,6.0,0.046,12096600000.0,11903900000.0,12227900000.0,5.0,10715200000.0,0.129,5.42,5.25,5.13,5.32,5.12,4.0,4.0,1.0,
+1Y,1,2023-12-31,0.144,6.2,5.37,7.28,5.42,7.0,0.144,12382800000.0,11967700000.0,12572300000.0,6.0,12096600000.0,0.024,6.2,6.24,6.09,6.11,5.73,3.0,3.0,2.0,
+5Y,1,,0.0482,,,,,,,,,,,,,,,,,,,,,
-5Y,1,,0.049439996,,,,,,,,,,,,,,,,,,,,,
