,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,3218756000.0,2572211000.0,1943927000.0,2189175000.0
Minority Interest,396442000.0,351138000.0,551626000.0,458569000.0
Net Income,2410642000.0,1762673000.0,1399512000.0,1575091000.0
Selling General Administrative,2214936000.0,1876122000.0,1728069000.0,1437281000.0
Gross Profit,6142823000.0,5459707000.0,4237522000.0,4296926000.0
Ebit,3203035000.0,2869033000.0,1878876000.0,2147621000.0
Operating Income,3203035000.0,2869033000.0,1878876000.0,2147621000.0
Other Operating Expenses,,,,
Interest Expense,-16174000.0,-12974000.0,-23687000.0,-15006000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,762810000.0,698275000.0,451358000.0,533684000.0
Total Revenue,17881106000.0,15493435000.0,12807684000.0,13621302000.0
Total Operating Expenses,14678071000.0,12624402000.0,10928808000.0,11473681000.0
Cost Of Revenue,11738283000.0,10033728000.0,8570162000.0,9324376000.0
Total Other Income Expense Net,15721000.0,-296822000.0,65051000.0,41554000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2455946000.0,1873936000.0,1492569000.0,1655491000.0
Net Income Applicable To Common Shares,2410642000.0,1762673000.0,1399512000.0,1575091000.0
