,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,427609000.0,374964000.0,322824000.0,301505000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1160955000.0,901015000.0,525772000.0,467801000.0
Minority Interest,,,,
Net Income,1014589000.0,784147000.0,467468000.0,451779000.0
Selling General Administrative,546614000.0,476013000.0,446351000.0,387945000.0
Gross Profit,2206656000.0,1785741000.0,1339829000.0,1220394000.0
Ebit,1196135000.0,902190000.0,529743000.0,490522000.0
Operating Income,1196135000.0,902190000.0,529743000.0,490522000.0
Other Operating Expenses,14842000.0,1771000.0,764000.0,1231000.0
Interest Expense,-17820000.0,-24182000.0,-22224000.0,-21780000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,146366000.0,116868000.0,58304000.0,16022000.0
Total Revenue,3702881000.0,3121469000.0,2294965000.0,2100802000.0
Total Operating Expenses,2506746000.0,2219279000.0,1765222000.0,1610280000.0
Cost Of Revenue,1496225000.0,1335728000.0,955136000.0,880408000.0
Total Other Income Expense Net,-35180000.0,-1175000.0,-3971000.0,-22721000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1014589000.0,784147000.0,467468000.0,451779000.0
Net Income Applicable To Common Shares,1014589000.0,784147000.0,467468000.0,451779000.0
