,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,824436000.0,451969000.0,317736000.0,293235000.0
Minority Interest,,,,
Net Income,650624000.0,366738000.0,261575000.0,234461000.0
Selling General Administrative,786808000.0,659931000.0,583679000.0,556284000.0
Gross Profit,1617092000.0,1130902000.0,924925000.0,870173000.0
Ebit,830284000.0,470971000.0,341246000.0,313889000.0
Operating Income,830284000.0,470971000.0,341246000.0,313889000.0
Other Operating Expenses,,,,
Interest Expense,-9839000.0,-10653000.0,-22472000.0,-20296000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,173812000.0,85231000.0,56161000.0,58774000.0
Total Revenue,5295584000.0,3936623000.0,3199517000.0,2998097000.0
Total Operating Expenses,4465300000.0,3465652000.0,2858271000.0,2684208000.0
Cost Of Revenue,3678492000.0,2805721000.0,2274592000.0,2127924000.0
Total Other Income Expense Net,-5848000.0,-19002000.0,-23510000.0,-20654000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,650624000.0,366738000.0,261575000.0,234461000.0
Net Income Applicable To Common Shares,646303000.0,366738000.0,261575000.0,234461000.0
