,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,271535000.0,180080000.0,121878000.0,97249000.0
Effect Of Accounting Charges,,,,
Income Before Tax,471654000.0,365709000.0,80646000.0,55078000.0
Minority Interest,,,,
Net Income,493507000.0,349246000.0,95894000.0,77491000.0
Selling General Administrative,900631000.0,654987000.0,332787000.0,240896000.0
Gross Profit,1674602000.0,1260880000.0,547343000.0,412931000.0
Ebit,502436000.0,425813000.0,92678000.0,74786000.0
Operating Income,502436000.0,425813000.0,92678000.0,74786000.0
Other Operating Expenses,,,,
Interest Expense,-9885000.0,-42025000.0,-24320000.0,-22178000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-21853000.0,16463000.0,-15248000.0,-22413000.0
Total Revenue,2329114000.0,1725625000.0,818379000.0,603693000.0
Total Operating Expenses,1826678000.0,1299812000.0,725701000.0,528907000.0
Cost Of Revenue,654512000.0,464745000.0,271036000.0,190762000.0
Total Other Income Expense Net,-30782000.0,-60104000.0,-12032000.0,-19708000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,493507000.0,349246000.0,95894000.0,77491000.0
Net Income Applicable To Common Shares,493507000.0,349246000.0,95894000.0,77454000.0
