,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2409421000.0,969969000.0,1361345000.0,1379006000.0
Minority Interest,830924000.0,427334000.0,40419000.0,71105000.0
Net Income,1836574000.0,751989000.0,1282357000.0,1063219000.0
Selling General Administrative,4029632000.0,3161207000.0,3436009000.0,3356649000.0
Gross Profit,6166529000.0,4828075000.0,5205078000.0,4890876000.0
Ebit,1611026000.0,1185832000.0,1329845000.0,1082239000.0
Operating Income,1611026000.0,1185832000.0,1329845000.0,1082239000.0
Other Operating Expenses,,,,
Interest Expense,-50352000.0,-67753000.0,-85754000.0,-98685000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,567506000.0,214101000.0,69895000.0,313058000.0
Total Revenue,27746036000.0,23826195000.0,23894091000.0,21340088000.0
Total Operating Expenses,26135010000.0,22640363000.0,22564246000.0,20257849000.0
Cost Of Revenue,21579507000.0,18998120000.0,18689013000.0,16449212000.0
Total Other Income Expense Net,798395000.0,-215863000.0,31500000.0,296767000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1841915000.0,755868000.0,1291450000.0,1065948000.0
Net Income Applicable To Common Shares,1836574000.0,751989000.0,1282357000.0,1063219000.0
