Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days
0Q,1,2022-06-30,0.624,2.94,2.92,3.01,1.81,11.0,0.624,430720000.0,429520000.0,435000000.0,11.0,293317000.0,0.468,2.94,2.88,2.37,2.37,2.06,2.0,11.0,0.0,
+1Q,1,2022-09-30,0.524,3.14,2.97,3.36,2.06,11.0,0.524,459280000.0,440040000.0,478000000.0,11.0,,,3.14,3.07,2.55,2.55,2.35,1.0,11.0,0.0,
0Y,1,2022-12-31,0.556,11.59,11.22,12.35,7.45,12.0,0.556,1728350000.0,1691260000.0,1770760000.0,12.0,1207800000.0,0.431,11.59,11.36,9.69,9.68,8.7,1.0,12.0,0.0,
+1Y,1,2023-12-31,0.18,13.68,12.75,15.18,11.59,12.0,0.18,2061840000.0,1943270000.0,2149000000.0,12.0,1728350000.0,0.19299999,13.68,13.33,11.33,11.37,10.98,1.0,12.0,0.0,
+5Y,1,,0.25,,,,,,,,,,,,,,,,,,,,,
-5Y,1,,0.21895,,,,,,,,,,,,,,,,,,,,,
