Date,Firm,To Grade,From Grade,Action
2022-04-11,Atlantic Equities,Overweight,Neutral,up
2022-04-11,Evercore ISI Group,Outperform,In-Line,up
2022-04-13,B of A Securities,Buy,,init
2022-04-19,Rosenblatt,Sell,,init
2022-04-27,Rosenblatt,Sell,,main
2022-04-27,Barclays,Equal-Weight,,init
2022-05-12,Cowen & Co.,Outperform,Market Perform,up
