,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,54026000.0,59214000.0,58287000.0,70054000.0
Effect Of Accounting Charges,,,,
Income Before Tax,229388000.0,501040000.0,692518000.0,883965000.0
Minority Interest,180341000.0,200367000.0,161330000.0,173787000.0
Net Income,123672000.0,375764000.0,533228000.0,693562000.0
Selling General Administrative,359756000.0,444431000.0,491109000.0,415021000.0
Gross Profit,1008471000.0,996853000.0,1258478000.0,1234756000.0
Ebit,594689000.0,493208000.0,709082000.0,749681000.0
Operating Income,594689000.0,493208000.0,709082000.0,749681000.0
Other Operating Expenses,,,,
Interest Expense,-32521000.0,-73116000.0,-52866000.0,-52405000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,29446000.0,54425000.0,88161000.0,144826000.0
Total Revenue,3327957000.0,3128909000.0,3589427000.0,3374950000.0
Total Operating Expenses,2733268000.0,2635701000.0,2880345000.0,2625269000.0
Cost Of Revenue,2319486000.0,2132056000.0,2330949000.0,2140194000.0
Total Other Income Expense Net,-365301000.0,7832000.0,-16564000.0,134284000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,199942000.0,446615000.0,604357000.0,739139000.0
Net Income Applicable To Common Shares,123672000.0,375764000.0,533228000.0,693562000.0
