,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-4501320000.0,-4000047000.0,911365000.0,969310000.0
Minority Interest,,,,
Net Income,-4506587000.0,-4012514000.0,930228000.0,954843000.0
Selling General Administrative,891845000.0,745752000.0,968714000.0,898355000.0
Gross Profit,-960051000.0,-413153000.0,2799115000.0,2678050000.0
Ebit,-2552741000.0,-1851205000.0,1184213000.0,1218635000.0
Operating Income,-2552741000.0,-1851205000.0,1184213000.0,1218635000.0
Other Operating Expenses,,,,
Interest Expense,-644112000.0,-454518000.0,-256191000.0,-264058000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,5267000.0,12467000.0,-18863000.0,14467000.0
Total Revenue,647986000.0,1279908000.0,6462376000.0,6055126000.0
Total Operating Expenses,3200727000.0,3131113000.0,5278163000.0,4836491000.0
Cost Of Revenue,1608037000.0,1693061000.0,3663261000.0,3377076000.0
Total Other Income Expense Net,-1948579000.0,-2148842000.0,-272848000.0,-249325000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-4506587000.0,-4012514000.0,930228000.0,954843000.0
Net Income Applicable To Common Shares,-4506587000.0,-4012514000.0,930228000.0,954843000.0
