Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days
0Q,1,2022-06-30,-0.148,1.09,0.93,1.22,1.28,14.0,-0.148,5897310000.0,5837740000.0,5984740000.0,6.0,5622860000.0,0.049000002,1.09,1.09,1.06,1.05,1.04,0.0,12.0,1.0,
+1Q,1,2022-09-30,-0.138,1.12,0.58,1.33,1.3,15.0,-0.138,6617100000.0,6061070000.0,7026000000.0,5.0,5864000000.0,0.128,1.12,1.12,1.12,1.13,1.1,1.0,12.0,0.0,
0Y,1,2022-12-31,-0.127,4.45,3.84,4.8,5.1,15.0,-0.127,25354100000.0,24690000000.0,25760500000.0,9.0,22721000000.0,0.116000004,4.45,4.45,4.37,4.38,4.34,0.0,12.0,0.0,
+1Y,1,2023-12-31,0.189,5.29,4.95,5.87,4.45,16.0,0.189,28784700000.0,28029900000.0,29917000000.0,9.0,25354100000.0,0.135,5.29,5.29,5.24,5.29,5.23,0.0,16.0,1.0,
+5Y,1,,0.1037,,,,,,,,,,,,,,,,,,,,,
-5Y,1,,0.08180001,,,,,,,,,,,,,,,,,,,,,
