,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,169766000.0,140102000.0,143950000.0,141071000.0
Effect Of Accounting Charges,,,,
Income Before Tax,949361000.0,748743000.0,681394000.0,651858000.0
Minority Interest,,,,
Net Income,768985000.0,602739000.0,561109000.0,512611000.0
Selling General Administrative,932576000.0,808021000.0,814383000.0,806602000.0
Gross Profit,2171553000.0,1801031000.0,1741211000.0,1684378000.0
Ebit,1006136000.0,796243000.0,733188000.0,689181000.0
Operating Income,1006136000.0,796243000.0,733188000.0,689181000.0
Other Operating Expenses,,,,
Interest Expense,-43242000.0,-38616000.0,-37411000.0,-34511000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,180376000.0,146004000.0,120285000.0,139247000.0
Total Revenue,3717930000.0,3085177000.0,3008652000.0,2935586000.0
Total Operating Expenses,2711794000.0,2288934000.0,2275464000.0,2246405000.0
Cost Of Revenue,1546377000.0,1284146000.0,1267441000.0,1251208000.0
Total Other Income Expense Net,-56775000.0,-47500000.0,-51794000.0,-37323000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,768985000.0,602739000.0,561109000.0,512611000.0
Net Income Applicable To Common Shares,768985000.0,602739000.0,561109000.0,512611000.0
