,2021-12-25,2020-12-26,2019-12-28,2018-12-29
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1280088000.0,968147000.0,723377000.0,683385000.0
Minority Interest,,,,
Net Income,997114000.0,748958000.0,562354000.0,532357000.0
Selling General Administrative,2836997000.0,2356346000.0,1932572000.0,1823440000.0
Gross Profit,4477153000.0,3761549000.0,2871770000.0,2702528000.0
Ebit,1369998000.0,1188079000.0,743220000.0,701737000.0
Operating Income,1369998000.0,1188079000.0,743220000.0,701737000.0
Other Operating Expenses,,,,
Interest Expense,-26610000.0,-28781000.0,-19843000.0,-18352000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,282974000.0,219189000.0,161023000.0,151028000.0
Total Revenue,12731105000.0,10620352000.0,8351931000.0,7911046000.0
Total Operating Expenses,11361107000.0,9432273000.0,7608711000.0,7209309000.0
Cost Of Revenue,8253952000.0,6858803000.0,5480161000.0,5208518000.0
Total Other Income Expense Net,-89910000.0,-219932000.0,-19843000.0,-18352000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,997114000.0,748958000.0,562354000.0,532357000.0
Net Income Applicable To Common Shares,997114000.0,748958000.0,562354000.0,532357000.0
