,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,161009000.0,141249000.0,133193000.0,117863000.0
Effect Of Accounting Charges,,,,
Income Before Tax,902654000.0,661985000.0,522218000.0,457742000.0
Minority Interest,,707000.0,352000.0,280000.0
Net Income,744845000.0,581776000.0,427720000.0,377031000.0
Selling General Administrative,796395000.0,735267000.0,668610000.0,632344000.0
Gross Profit,1889432000.0,1571040000.0,1365549000.0,1241542000.0
Ebit,932028000.0,694524000.0,563746000.0,491335000.0
Operating Income,932028000.0,694524000.0,563746000.0,491335000.0
Other Operating Expenses,,,,
Interest Expense,-29808000.0,-33125000.0,-31055000.0,-34744000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,157810000.0,79854000.0,94426000.0,80695000.0
Total Revenue,3215360000.0,2706655000.0,2406908000.0,2213242000.0
Total Operating Expenses,2283332000.0,2012131000.0,1843162000.0,1721907000.0
Cost Of Revenue,1325928000.0,1135615000.0,1041359000.0,971700000.0
Total Other Income Expense Net,-29374000.0,-32539000.0,-41528000.0,-36222000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,744844000.0,582131000.0,427792000.0,377047000.0
Net Income Applicable To Common Shares,744845000.0,581776000.0,427720000.0,377031000.0
