Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days
0Q,1,2022-06-30,-0.16700001,2.95,2.46,3.42,3.54,3.0,-0.16700001,684100000.0,664600000.0,703600000.0,2.0,631780000.0,0.083000004,2.95,2.95,3.39,3.39,3.2,1.0,1.0,1.0,
+1Q,1,2022-09-30,-0.175,3.06,2.92,3.21,3.71,3.0,-0.175,711200000.0,696010000.0,726400000.0,2.0,747049000.0,-0.048,3.06,3.06,3.59,3.59,3.2,0.0,0.0,2.0,
0Y,1,2022-12-31,-0.073,14.51,14.2,14.82,15.66,3.0,-0.073,2875120000.0,2858900000.0,2896610000.0,3.0,2922540000.0,-0.016,14.51,14.51,13.81,14.23,13.41,2.0,2.0,0.0,
+1Y,1,2023-12-31,0.074,15.58,15.25,15.85,14.51,3.0,0.074,3077690000.0,3064930000.0,3094860000.0,3.0,2875120000.0,0.07,15.58,15.2,15.34,15.79,14.75,0.0,1.0,0.0,
+5Y,1,,0.17799999,,,,,,,,,,,,,,,,,,,,,
-5Y,1,,0.120340005,,,,,,,,,,,,,,,,,,,,,
