Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days
0Q,1,2022-04-30,0.094,1.28,1.24,1.37,1.17,21.0,0.094,1683930000.0,1644900000.0,1707000000.0,18.0,1555000000.0,0.083000004,1.28,1.28,1.28,1.27,1.35,0.0,1.0,0.0,
+1Q,1,2022-07-31,-0.051999997,1.09,0.93,1.23,1.15,20.0,-0.051999997,1556170000.0,1367000000.0,1634700000.0,16.0,1432910000.0,0.086,1.09,1.09,1.09,1.1,1.19,0.0,0.0,0.0,
0Y,1,2022-04-30,0.266,5.14,5.1,5.23,4.06,24.0,0.266,6321890000.0,6283000000.0,6345000000.0,23.0,5744000000.0,0.101,5.14,5.14,5.14,5.14,5.06,0.0,1.0,0.0,
+1Y,1,2023-04-30,0.062,5.46,5.07,6.0,5.14,24.0,0.062,6781960000.0,6471000000.0,6911000000.0,23.0,6321890000.0,0.073,5.46,5.46,5.46,5.5,5.54,0.0,0.0,0.0,
+5Y,1,,0.088,,,,,,,,,,,,,,,,,,,,,
-5Y,1,,0.14977,,,,,,,,,,,,,,,,,,,,,
