Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days
0Q,1,2022-06-30,0.064,1.83,1.8,1.89,1.72,19.0,0.064,5215020000.0,5110000000.0,5321000000.0,15.0,,,1.83,1.83,1.83,1.86,1.86,0.0,7.0,1.0,
+1Q,1,2022-09-30,0.14899999,2.01,1.97,2.07,1.75,19.0,0.14899999,5235580000.0,5195000000.0,5282000000.0,15.0,,,2.01,2.01,2.03,2.04,2.04,0.0,5.0,1.0,
0Y,1,2022-12-31,0.136,7.52,7.41,7.6,6.62,23.0,0.136,20615200000.0,20360000000.0,21113000000.0,21.0,19628000000.0,0.05,7.52,7.49,7.48,7.52,7.5,2.0,11.0,0.0,
+1Y,1,2023-12-31,0.108,8.33,7.33,8.67,7.52,26.0,0.108,21885000000.0,21026000000.0,22674200000.0,23.0,20615200000.0,0.062,8.33,8.33,8.32,8.36,8.3,2.0,12.0,0.0,
+5Y,1,,0.15640001,,,,,,,,,,,,,,,,,,,,,
-5Y,1,,0.061739996,,,,,,,,,,,,,,,,,,,,,
