Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days
0Q,1,2022-06-30,-0.187,1.52,1.29,1.73,1.87,20.0,-0.187,5846670000.0,5498000000.0,6415000000.0,18.0,6217000000.0,-0.06,1.52,1.52,1.59,1.6,1.6,0.0,4.0,2.0,
+1Q,1,2022-09-30,-0.426,1.52,1.36,1.74,2.65,20.0,-0.426,5914290000.0,5762000000.0,6510000000.0,17.0,7421000000.0,-0.203,1.52,1.52,1.58,1.59,1.6,1.0,6.0,1.0,
0Y,1,2022-12-31,-0.098000005,6.57,6.34,7.3,7.28,22.0,-0.098000005,24566400000.0,24064000000.0,25769000000.0,23.0,27305000000.0,-0.1,6.57,6.59,6.51,6.53,6.52,2.0,16.0,2.0,
+1Y,1,2023-12-31,-0.032,6.36,4.04,7.49,6.57,22.0,-0.032,24393800000.0,23081000000.0,26732800000.0,23.0,24566400000.0,-0.0069999998,6.36,6.33,6.47,6.49,6.56,3.0,10.0,1.0,
+5Y,1,,-0.0135,,,,,,,,,,,,,,,,,,,,,
-5Y,1,,-0.12104999,,,,,,,,,,,,,,,,,,,,,
