Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days
0Q,1,2022-06-30,-0.128,0.68,0.63,0.73,0.78,16.0,-0.128,6399420000.0,6223000000.0,6763000000.0,12.0,,,0.68,0.68,0.69,0.69,0.69,0.0,4.0,1.0,
+1Q,1,2022-09-30,-0.031,0.63,0.58,0.66,0.65,16.0,-0.031,6220460000.0,6054000000.0,6714000000.0,12.0,6324000000.0,-0.016,0.63,0.63,0.63,0.64,0.62,0.0,6.0,1.0,
0Y,1,2022-12-31,-0.081999995,2.69,2.56,2.79,2.93,18.0,-0.081999995,25620800000.0,25331000000.0,26671000000.0,17.0,26042000000.0,-0.016,2.69,2.68,2.63,2.63,2.61,1.0,13.0,1.0,
+1Y,1,2023-12-31,0.033,2.78,2.63,3.0,2.69,18.0,0.033,25707300000.0,25079000000.0,26855000000.0,17.0,25620800000.0,0.003,2.78,2.77,2.72,2.72,2.64,1.0,12.0,0.0,
+5Y,1,,-0.0155,,,,,,,,,,,,,,,,,,,,,
-5Y,1,,0.014199999,,,,,,,,,,,,,,,,,,,,,
