,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,104303000.0,80251000.0,68394000.0,50019000.0
Effect Of Accounting Charges,,,,
Income Before Tax,691526000.0,446191000.0,319607000.0,311076000.0
Minority Interest,58363000.0,66118000.0,61696000.0,61716000.0
Net Income,550494000.0,350576000.0,252007000.0,238257000.0
Selling General Administrative,469294000.0,364606000.0,326700000.0,295728000.0
Gross Profit,1360082000.0,957654000.0,797752000.0,725040000.0
Ebit,736599000.0,480517000.0,374014000.0,357181000.0
Operating Income,736599000.0,480517000.0,374014000.0,357181000.0
Other Operating Expenses,,,,
Interest Expense,-32953000.0,-32991000.0,-41544000.0,-40956000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,134957000.0,98973000.0,67299000.0,69856000.0
Total Revenue,3737184000.0,2485200000.0,2204336000.0,2023464000.0
Total Operating Expenses,3000585000.0,2004683000.0,1830322000.0,1666283000.0
Cost Of Revenue,2377102000.0,1527546000.0,1406584000.0,1298424000.0
Total Other Income Expense Net,-45073000.0,-34326000.0,-54407000.0,-46105000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,556569000.0,347218000.0,252308000.0,241220000.0
Net Income Applicable To Common Shares,533392000.0,349329000.0,253260000.0,220287000.0
