Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days
0Q,1,2022-06-30,1.402,1.57,1.0,2.02,-3.91,16.0,1.402,11589900000.0,11471000000.0,11646000000.0,11.0,,,1.57,1.58,-0.33,0.04,0.26,1.0,16.0,0.0,
+1Q,1,2022-09-30,2.931,1.97,0.35,3.34,-1.02,16.0,2.931,12070300000.0,11550000000.0,12833800000.0,11.0,7639200000.0,0.58,1.97,1.98,0.77,1.45,1.55,1.0,14.0,0.0,
0Y,1,2022-12-31,1.045,0.63,-2.44,4.86,-13.94,14.0,1.045,42787000000.0,38488000000.0,46753600000.0,17.0,24634000000.0,0.737,0.63,0.63,-3.21,-0.85,-0.68,1.0,16.0,0.0,
+1Y,1,2023-12-31,10.587,7.3,1.1,11.1,0.63,17.0,10.587,48699500000.0,43312000000.0,52113600000.0,17.0,42787000000.0,0.138,7.3,7.29,6.12,6.62,6.62,1.0,13.0,0.0,
+5Y,1,,-1.291,,,,,,,,,,,,,,,,,,,,,
-5Y,1,,0.020480001,,,,,,,,,,,,,,,,,,,,,
