,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,2273885000.0,1829600000.0,1545149000.0,1221814000.0
Effect Of Accounting Charges,,,,
Income Before Tax,5840103000.0,3199349000.0,2062231000.0,1226458000.0
Minority Interest,,,,
Net Income,5116228000.0,2761395000.0,1866916000.0,1211242000.0
Selling General Administrative,3896767000.0,3304848000.0,3566831000.0,2999763000.0
Gross Profit,12365161000.0,9719737000.0,7716234000.0,5826803000.0
Ebit,6194509000.0,4585289000.0,2604254000.0,1605226000.0
Operating Income,6194509000.0,4585289000.0,2604254000.0,1605226000.0
Other Operating Expenses,,,,
Interest Expense,-765620000.0,-767499000.0,-626023000.0,-420493000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,723875000.0,437954000.0,195315000.0,15216000.0
Total Revenue,29697844000.0,24996056000.0,20156447000.0,15794341000.0
Total Operating Expenses,23503335000.0,20410767000.0,17552193000.0,14189115000.0
Cost Of Revenue,17332683000.0,15276319000.0,12440213000.0,9967538000.0
Total Other Income Expense Net,-354406000.0,-1385940000.0,-542023000.0,-378768000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,5116228000.0,2761395000.0,1866916000.0,1211242000.0
Net Income Applicable To Common Shares,5116228000.0,2761395000.0,1866916000.0,1211242000.0
