,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,6988000000.0,3429000000.0,5492000000.0,5486000000.0
Minority Interest,31000000.0,31000000.0,29000000.0,42000000.0
Net Income,5674000000.0,7517000000.0,5369000000.0,5301000000.0
Selling General Administrative,9811000000.0,7911000000.0,7992000000.0,7677000000.0
Gross Profit,19990000000.0,13726000000.0,16066000000.0,15782000000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,6988000000.0,3429000000.0,5492000000.0,5486000000.0
Other Operating Expenses,3191000000.0,2386000000.0,2582000000.0,2619000000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1263000000.0,426000000.0,901000000.0,928000000.0
Total Revenue,19990000000.0,13726000000.0,16066000000.0,15782000000.0
Total Operating Expenses,13002000000.0,10297000000.0,10574000000.0,10296000000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,0.0,0.0,0.0,0.0
Discontinued Operations,,4555000000.0,827000000.0,788000000.0
Net Income From Continuing Ops,5725000000.0,3003000000.0,4591000000.0,4558000000.0
Net Income Applicable To Common Shares,5409000000.0,7249000000.0,5108000000.0,5040000000.0
