Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days
0Q,1,2022-06-30,-0.025999999,1.88,1.72,2.0,1.93,14.0,-0.025999999,11450100000.0,11263000000.0,11804000000.0,11.0,11703000000.0,-0.022,1.88,1.91,2.03,2.03,2.02,0.0,0.0,1.0,
+1Q,1,2022-09-30,-0.025,1.95,1.83,2.05,2.0,14.0,-0.025,11513200000.0,11217000000.0,11823000000.0,10.0,11582400000.0,-0.006,1.95,1.96,1.98,1.99,1.98,0.0,3.0,1.0,
0Y,1,2022-12-31,0.008,7.57,7.46,7.74,7.51,13.0,0.008,46422500000.0,45940000000.0,47157000000.0,15.0,46385000000.0,0.001,7.57,7.59,7.79,7.8,7.79,0.0,2.0,0.0,
+1Y,1,2023-12-31,0.075,8.14,7.79,8.5,7.57,15.0,0.075,48341800000.0,47461400000.0,49618100000.0,15.0,46422500000.0,0.040999997,8.14,8.13,8.23,8.28,8.29,1.0,4.0,0.0,
+5Y,1,,0.044299997,,,,,,,,,,,,,,,,,,,,,
-5Y,1,,0.21585,,,,,,,,,,,,,,,,,,,,,
