,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,803780000.0,421882000.0,625515000.0,591602000.0
Minority Interest,,,,
Net Income,598626000.0,306276000.0,454433000.0,434288000.0
Selling General Administrative,1951282000.0,1666041000.0,1958295000.0,1810601000.0
Gross Profit,2696028000.0,2012611000.0,2525129000.0,2411012000.0
Ebit,742505000.0,345351000.0,565473000.0,598706000.0
Operating Income,742505000.0,345351000.0,565473000.0,598706000.0
Other Operating Expenses,,,,
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,205154000.0,115606000.0,171082000.0,157314000.0
Total Revenue,6461444000.0,5109000000.0,6074432000.0,5800271000.0
Total Operating Expenses,5718939000.0,4763649000.0,5508959000.0,5201565000.0
Cost Of Revenue,3765416000.0,3096389000.0,3549303000.0,3389259000.0
Total Other Income Expense Net,61275000.0,76531000.0,60042000.0,-7104000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,598626000.0,306276000.0,454433000.0,434288000.0
Net Income Applicable To Common Shares,598626000.0,306276000.0,454433000.0,434288000.0
