,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1828000000.0,1334000000.0,1133000000.0,1051742000.0
Minority Interest,,,,
Net Income,1478000000.0,1064000000.0,930000000.0,853828000.0
Selling General Administrative,2784000000.0,2124000000.0,1845000000.0,1623759000.0
Gross Profit,4975000000.0,3760000000.0,3279000000.0,2968461000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,1912000000.0,1405000000.0,1172000000.0,1109864000.0
Other Operating Expenses,279000000.0,231000000.0,262000000.0,234838000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,350000000.0,270000000.0,203000000.0,197914000.0
Total Revenue,4975000000.0,3760000000.0,3279000000.0,2968461000.0
Total Operating Expenses,3063000000.0,2355000000.0,2107000000.0,1858597000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,-84000000.0,-71000000.0,-39000000.0,-58122000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1478000000.0,1064000000.0,930000000.0,853828000.0
Net Income Applicable To Common Shares,1379000000.0,1005000000.0,881000000.0,796103000.0
