,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2781914000.0,2266405000.0,1790329000.0,1694087000.0
Minority Interest,,,,
Net Income,2164685000.0,1752302000.0,1391042000.0,1324487000.0
Selling General Administrative,3769781000.0,3359956000.0,3204765000.0,2967382000.0
Gross Profit,7019949000.0,6085692000.0,5394691000.0,5039966000.0
Ebit,2929768000.0,2422736000.0,1922626000.0,1826584000.0
Operating Income,2929768000.0,2422736000.0,1922626000.0,1826584000.0
Other Operating Expenses,,,,
Interest Expense,-144768000.0,-161126000.0,-139975000.0,-122129000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,617229000.0,514103000.0,399287000.0,369600000.0
Total Revenue,13327563000.0,11604493000.0,10149985000.0,9536428000.0
Total Operating Expenses,10397795000.0,9181757000.0,8227359000.0,7709844000.0
Cost Of Revenue,6307614000.0,5518801000.0,4755294000.0,4496462000.0
Total Other Income Expense Net,-147854000.0,-156331000.0,-132297000.0,-132497000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2164685000.0,1752302000.0,1391042000.0,1324487000.0
Net Income Applicable To Common Shares,2164685000.0,1752302000.0,1391042000.0,1324487000.0
