,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1223170000.0,1082309000.0,1069748000.0,987745000.0
Minority Interest,,,,
Net Income,990053000.0,872439000.0,861297000.0,777933000.0
Selling General Administrative,603944000.0,515630000.0,610280000.0,597433000.0
Gross Profit,1912614000.0,1587214000.0,1787660000.0,1659562000.0
Ebit,1308670000.0,1071584000.0,1177380000.0,1062129000.0
Operating Income,1308670000.0,1071584000.0,1177380000.0,1062129000.0
Other Operating Expenses,,,,
Interest Expense,-80381000.0,-86062000.0,-88481000.0,-82180000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,233117000.0,209870000.0,208451000.0,209812000.0
Total Revenue,5546514000.0,4540029000.0,5158557000.0,4845872000.0
Total Operating Expenses,4237844000.0,3468445000.0,3981177000.0,3783743000.0
Cost Of Revenue,3633900000.0,2952815000.0,3370897000.0,3186310000.0
Total Other Income Expense Net,-85500000.0,10725000.0,-107632000.0,-74384000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,990053000.0,872439000.0,861297000.0,777933000.0
Net Income Applicable To Common Shares,990053000.0,872439000.0,861297000.0,777933000.0
