Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days
0Q,1,2022-06-30,,1.96,1.9,2.42,,11.0,,2832980000.0,2794000000.0,2988000000.0,11.0,,,1.96,1.96,2.14,2.18,2.19,2.0,3.0,0.0,
+1Q,1,2022-09-30,-0.004,2.34,2.09,2.83,2.35,10.0,-0.004,3089010000.0,2934000000.0,3412100000.0,10.0,3105500000.0,-0.005,2.34,2.34,2.41,2.46,2.46,1.0,2.0,0.0,
0Y,1,2022-06-30,,8.55,8.39,9.39,,14.0,,11875200000.0,11827000000.0,12163000000.0,12.0,,,8.55,8.55,8.89,8.97,9.0,1.0,2.0,1.0,
+1Y,1,2023-06-30,0.076,9.2,8.48,10.0,8.55,13.0,0.076,12297200000.0,11987000000.0,12675000000.0,11.0,11875200000.0,0.036,9.2,9.2,9.63,9.81,9.8,1.0,5.0,1.0,
+5Y,1,,0.2143,,,,,,,,,,,,,,,,,,,,,
-5Y,1,,0.20733,,,,,,,,,,,,,,,,,,,,,
