Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days
0Q,1,2022-04-30,-0.173,3.05,2.55,3.66,3.69,25.0,-0.173,24418100000.0,23680300000.0,25408000000.0,19.0,,,3.05,3.04,3.06,3.05,3.01,2.0,3.0,1.0,
+1Q,1,2022-07-31,0.08,3.93,3.61,4.19,3.64,24.0,0.08,26284500000.0,25537000000.0,26825000000.0,19.0,25077000000.0,0.048,3.93,3.92,3.92,3.92,3.69,2.0,3.0,1.0,
0Y,1,2023-01-31,0.079,14.63,14.0,15.8,13.56,28.0,0.079,109896000000.0,107944000000.0,111662000000.0,26.0,106005000000.0,0.037,14.63,14.58,14.58,14.58,13.37,3.0,5.0,1.0,
+1Y,1,2024-01-31,0.09,15.94,14.75,16.98,14.63,28.0,0.09,114911000000.0,110925000000.0,119468000000.0,25.0,109896000000.0,0.046,15.94,15.92,15.92,15.91,14.51,2.0,4.0,1.0,
+5Y,1,,0.1402,,,,,,,,,,,,,,,,,,,,,
-5Y,1,,0.10885,,,,,,,,,,,,,,,,,,,,,
