Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days
0Q,1,2022-06-30,1.3,0.23,0.18,0.29,0.1,21.0,1.3,5368920000.0,5065800000.0,5496000000.0,17.0,5142000000.0,0.044,0.23,0.23,0.27,0.28,0.27,0.0,1.0,1.0,
+1Q,1,2022-09-30,1.0,0.32,0.19,0.4,0.16,21.0,1.0,5694910000.0,5149200000.0,5895000000.0,17.0,5093000000.0,0.118,0.32,0.33,0.35,0.35,0.35,0.0,2.0,1.0,
0Y,1,2022-12-31,0.84099996,1.16,0.73,1.39,0.63,25.0,0.84099996,22146800000.0,20413200000.0,22667900000.0,23.0,20536000000.0,0.078,1.16,1.17,1.28,1.29,1.27,0.0,3.0,1.0,
+1Y,1,2023-12-31,0.517,1.76,1.16,2.1,1.16,25.0,0.517,24731100000.0,23341900000.0,26272000000.0,24.0,22146800000.0,0.117,1.76,1.76,1.76,1.75,1.72,0.0,8.0,1.0,
+5Y,1,,0.509,,,,,,,,,,,,,,,,,,,,,
-5Y,1,,-0.33029,,,,,,,,,,,,,,,,,,,,,
