,2021-05-30,2020-05-31,2019-05-26,2018-05-27
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1494700000.0,1043100000.0,899100000.0,972100000.0
Minority Interest,79600000.0,74600000.0,79100000.0,80400000.0
Net Income,1298800000.0,840100000.0,678300000.0,808400000.0
Selling General Administrative,1208500000.0,1289000000.0,1348700000.0,1082000000.0
Gross Profit,3216300000.0,3069600000.0,2653000000.0,2351500000.0
Ebit,2007800000.0,1780600000.0,1304300000.0,1269500000.0
Operating Income,2007800000.0,1780600000.0,1304300000.0,1269500000.0
Other Operating Expenses,,,,
Interest Expense,-422300000.0,-490200000.0,-386300000.0,-162500000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,193800000.0,201300000.0,218800000.0,174600000.0
Total Revenue,11184700000.0,11054400000.0,9538400000.0,7938300000.0
Total Operating Expenses,9176900000.0,9273800000.0,8234100000.0,6668800000.0
Cost Of Revenue,7968400000.0,7984800000.0,6885400000.0,5586800000.0
Total Other Income Expense Net,-513100000.0,-737500000.0,-405200000.0,-297400000.0
Discontinued Operations,,,-1900000.0,14300000.0
Net Income From Continuing Ops,1300900000.0,841800000.0,680300000.0,797500000.0
Net Income Applicable To Common Shares,1298800000.0,840100000.0,678300000.0,808400000.0
