Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days
0Q,1,2022-06-30,0.143,1.68,1.53,1.76,1.47,18.0,0.143,2215050000.0,2031000000.0,2341160000.0,14.0,1837120000.0,0.206,1.68,1.69,1.72,1.71,1.71,0.0,6.0,0.0,
+1Q,1,2022-09-30,0.0139999995,2.13,1.99,2.25,2.1,18.0,0.0139999995,2582170000.0,2409000000.0,2666520000.0,14.0,2325260000.0,0.11,2.13,2.14,2.26,2.26,2.26,0.0,0.0,0.0,
0Y,1,2022-12-31,0.12,8.05,7.9,8.26,7.19,20.0,0.12,9949070000.0,9342000000.0,10187900000.0,18.0,8971340000.0,0.109,8.05,8.04,7.94,7.94,7.94,0.0,18.0,0.0,
+1Y,1,2023-12-31,0.075,8.65,8.33,8.94,8.05,19.0,0.075,10302000000.0,9958000000.0,10596000000.0,18.0,9949070000.0,0.035,8.65,8.62,8.5,8.5,8.44,0.0,18.0,0.0,
+5Y,1,,0.095,,,,,,,,,,,,,,,,,,,,,
-5Y,1,,0.08806,,,,,,,,,,,,,,,,,,,,,
