Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days
0Q,1,2022-06-30,0.075,1.73,1.72,1.75,1.61,27.0,0.075,3673450000.0,3648300000.0,3716000000.0,24.0,3396230000.0,0.081999995,1.73,1.74,1.76,1.8,1.76,0.0,13.0,0.0,
+1Q,1,2022-09-30,0.116000004,1.93,1.87,2.0,1.73,28.0,0.116000004,3745360000.0,3709930000.0,3784200000.0,24.0,,,1.93,1.93,1.92,1.91,1.86,0.0,17.0,0.0,
0Y,1,2022-12-31,0.118,7.32,7.27,7.37,6.55,31.0,0.118,14853700000.0,14772200000.0,14913800000.0,29.0,13877000000.0,0.07,7.32,7.31,7.29,7.29,7.29,0.0,22.0,0.0,
+1Y,1,2023-12-31,0.146,8.39,8.08,9.07,7.32,31.0,0.146,15976800000.0,15695000000.0,16239000000.0,29.0,14853700000.0,0.076,8.39,8.35,8.27,8.22,8.23,0.0,20.0,0.0,
+5Y,1,,0.14,,,,,,,,,,,,,,,,,,,,,
-5Y,1,,0.17803,,,,,,,,,,,,,,,,,,,,,
