Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days
0Q,1,2022-04-30,0.118999995,0.47,0.45,0.49,0.42,11.0,0.118999995,3033770000.0,2856000000.0,3146300000.0,10.0,,,0.47,0.47,0.48,0.48,0.48,0.0,0.0,0.0,
+1Q,1,2022-07-31,0.231,0.48,0.39,0.52,0.39,11.0,0.231,3043120000.0,2796000000.0,3234150000.0,10.0,,,0.48,0.48,0.48,0.48,0.47,0.0,0.0,0.0,
0Y,1,2022-10-31,0.116000004,1.93,1.8,2.06,1.73,12.0,0.116000004,12344900000.0,11997100000.0,12656600000.0,10.0,11386200000.0,0.084,1.93,1.93,1.94,1.94,1.96,0.0,0.0,0.0,
+1Y,1,2023-10-31,0.088,2.1,2.02,2.2,1.93,11.0,0.088,12686900000.0,12237000000.0,13196900000.0,10.0,12344900000.0,0.027999999,2.1,2.1,2.1,2.11,2.11,0.0,0.0,0.0,
+5Y,1,,0.085,,,,,,,,,,,,,,,,,,,,,
-5Y,1,,0.07981,,,,,,,,,,,,,,,,,,,,,
