,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,16595000000.0,1844000000.0,5652000000.0,6019000000.0
Minority Interest,16000000.0,12000000.0,16000000.0,16000000.0
Net Income,12890000000.0,1343000000.0,4440000000.0,4791000000.0
Selling General Administrative,,,,1362000000.0
Gross Profit,26867000000.0,11490000000.0,13629000000.0,13130000000.0
Ebit,16268000000.0,2096000000.0,5447000000.0,5458000000.0
Operating Income,16268000000.0,2096000000.0,5447000000.0,5458000000.0
Other Operating Expenses,7646000000.0,6696000000.0,5822000000.0,5465000000.0
Interest Expense,-694000000.0,-701000000.0,-653000000.0,-605000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3705000000.0,501000000.0,1212000000.0,1228000000.0
Total Revenue,97287000000.0,84628000000.0,74094000000.0,71861000000.0
Total Operating Expenses,81019000000.0,82532000000.0,68647000000.0,66403000000.0
Cost Of Revenue,70420000000.0,73138000000.0,60465000000.0,58731000000.0
Total Other Income Expense Net,327000000.0,-252000000.0,205000000.0,561000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,12890000000.0,1343000000.0,4440000000.0,4791000000.0
Net Income Applicable To Common Shares,12890000000.0,1343000000.0,4440000000.0,4791000000.0
