,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,335372000.0,269315000.0,261365000.0,246165000.0
Effect Of Accounting Charges,,,,
Income Before Tax,714213000.0,602976000.0,531385000.0,343089000.0
Minority Interest,,,,
Net Income,651642000.0,557054000.0,478035000.0,298373000.0
Selling General Administrative,1001674000.0,1032439000.0,1022529000.0,1065922000.0
Gross Profit,2192267000.0,2065477000.0,1905993000.0,1760989000.0
Ebit,807202000.0,721674000.0,583518000.0,415591000.0
Operating Income,807202000.0,721674000.0,583518000.0,415591000.0
Other Operating Expenses,,,,
Interest Expense,-72332000.0,-69120000.0,-49364000.0,-43202000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,62571000.0,45922000.0,53350000.0,44716000.0
Total Revenue,3461223000.0,3198149000.0,2893617000.0,2714474000.0
Total Operating Expenses,2654021000.0,2476475000.0,2310099000.0,2298883000.0
Cost Of Revenue,1268956000.0,1132672000.0,987624000.0,953485000.0
Total Other Income Expense Net,-92989000.0,-118698000.0,-52133000.0,-72502000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,651642000.0,557054000.0,478035000.0,298373000.0
Net Income Applicable To Common Shares,651642000.0,557054000.0,478035000.0,298373000.0
