,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,8126000000.0,6927000000.0,6795000000.0,6307000000.0
Minority Interest,267000000.0,259000000.0,238000000.0,217000000.0
Net Income,6554000000.0,5407000000.0,5899000000.0,5123000000.0
Selling General Administrative,,,,
Gross Profit,20712000000.0,20077000000.0,20484000000.0,20021000000.0
Ebit,9044000000.0,7838000000.0,7856000000.0,7490000000.0
Operating Income,9044000000.0,7838000000.0,7856000000.0,7490000000.0
Other Operating Expenses,11668000000.0,12239000000.0,12628000000.0,12531000000.0
Interest Expense,-920000000.0,-913000000.0,-955000000.0,-1122000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1551000000.0,1509000000.0,886000000.0,1179000000.0
Total Revenue,71080000000.0,67842000000.0,69620000000.0,67941000000.0
Total Operating Expenses,62036000000.0,60004000000.0,61764000000.0,60451000000.0
Cost Of Revenue,50368000000.0,47765000000.0,49136000000.0,47920000000.0
Total Other Income Expense Net,-918000000.0,-911000000.0,-1061000000.0,-1183000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,6575000000.0,5418000000.0,5909000000.0,5128000000.0
Net Income Applicable To Common Shares,6353000000.0,5191000000.0,5721000000.0,4982000000.0
