,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,250315000.0,175307000.0,157361000.0,128899000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1012423000.0,378949000.0,555123000.0,457958000.0
Minority Interest,,,,
Net Income,772020000.0,1775888000.0,442776000.0,400235000.0
Selling General Administrative,1708640000.0,1200757000.0,1072053000.0,852404000.0
Gross Profit,2935355000.0,1763235000.0,1743897000.0,1447867000.0
Ebit,976400000.0,387171000.0,514483000.0,466564000.0
Operating Income,976400000.0,387171000.0,514483000.0,466564000.0
Other Operating Expenses,,,,
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,240403000.0,-1396939000.0,112347000.0,57723000.0
Total Revenue,3952584000.0,2471941000.0,2406796000.0,1966492000.0
Total Operating Expenses,2976184000.0,2084770000.0,1892313000.0,1499928000.0
Cost Of Revenue,1017229000.0,708706000.0,662899000.0,518625000.0
Total Other Income Expense Net,36023000.0,-8222000.0,40640000.0,-8606000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,772020000.0,1775888000.0,442776000.0,400235000.0
Net Income Applicable To Common Shares,772020000.0,1775888000.0,442776000.0,400235000.0
