Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-03-22,48.0,49.0,47.0,47.0,7000,0,0
2022-03-23,48.0,48.0,42.0,42.0,22900,0,0
2022-03-24,44.04999923706055,44.45000076293945,44.04999923706055,44.41899871826172,600,0,0
2022-03-25,43.0099983215332,43.0099983215332,43.0099983215332,43.0099983215332,1100,0,0
2022-03-28,44.0,44.0,42.000999450683594,43.5,1100,0,0
2022-03-29,43.5,43.54999923706055,39.5099983215332,40.04999923706055,15500,0,0
2022-03-30,40.41999816894531,40.83000183105469,36.400001525878906,36.41999816894531,46100,0,0
2022-03-31,36.36000061035156,36.36000061035156,33.33000183105469,33.33000183105469,132200,0,0
2022-04-01,32.36000061035156,33.150001525878906,28.594999313354492,30.5,22998000,0,0
2022-04-04,30.1200008392334,33.779998779296875,30.1200008392334,31.399999618530273,5199700,0,0
2022-04-05,30.56999969482422,31.280000686645508,30.0,30.0,4333000,0,0
2022-04-06,29.889999389648438,30.579999923706055,27.200000762939453,29.979999542236328,7015800,0,0
2022-04-07,28.780000686645508,30.15999984741211,28.600000381469727,29.399999618530273,5450300,0,0
2022-04-08,28.899999618530273,34.16999816894531,28.299999237060547,32.540000915527344,3501100,0,0
2022-04-11,31.770000457763672,32.7400016784668,30.700000762939453,32.41999816894531,1937500,0,0
2022-04-12,32.5,33.220001220703125,30.459999084472656,32.11000061035156,2213400,0,0
2022-04-13,31.68000030517578,33.439998626708984,31.0,33.36000061035156,2132600,0,0
2022-04-14,33.0099983215332,33.560001373291016,32.189998626708984,32.83000183105469,1598900,0,0
2022-04-18,32.36000061035156,32.75,31.690000534057617,32.27000045776367,926600,0,0
2022-04-19,31.989999771118164,32.2400016784668,30.420000076293945,30.93000030517578,1038300,0,0
2022-04-20,30.940000534057617,31.639999389648438,29.8799991607666,31.1299991607666,964500,0,0
2022-04-21,31.059999465942383,31.290000915527344,29.299999237060547,30.579999923706055,860600,0,0
2022-04-22,30.459999084472656,31.93000030517578,30.0,31.649999618530273,792100,0,0
2022-04-25,31.31999969482422,32.529998779296875,30.06999969482422,32.439998626708984,862800,0,0
2022-04-26,31.760000228881836,32.75,30.90999984741211,31.09000015258789,1023700,0,0
2022-04-27,30.84000015258789,32.0,30.469999313354492,31.649999618530273,921200,0,0
2022-04-28,31.440000534057617,31.75,29.959999084472656,30.940000534057617,846700,0,0
2022-04-29,30.520000457763672,30.860000610351562,29.510000228881836,30.43000030517578,958800,0,0
2022-05-02,29.75,31.760000228881836,29.690000534057617,31.739999771118164,1029700,0,0
2022-05-03,31.34000015258789,32.560001373291016,31.100000381469727,32.130001068115234,746900,0,0
2022-05-04,31.850000381469727,32.849998474121094,31.674999237060547,32.439998626708984,475800,0,0
2022-05-05,32.08000183105469,33.2400016784668,31.329999923706055,31.799999237060547,269900,0,0
2022-05-06,31.280000686645508,31.461999893188477,29.8700008392334,30.059999465942383,604900,0,0
2022-05-09,29.469999313354492,29.7450008392334,28.309999465942383,29.030000686645508,1003300,0,0
2022-05-10,28.739999771118164,29.05500030517578,27.5,28.579999923706055,929900,0,0
2022-05-11,28.190000534057617,30.239999771118164,27.75,28.8799991607666,536900,0,0
2022-05-12,28.440000534057617,29.100000381469727,27.850000381469727,28.8799991607666,660700,0,0
2022-05-13,27.1200008392334,27.68000030517578,24.610000610351562,26.329999923706055,2386000,0,0
2022-05-16,25.940000534057617,26.889999389648438,25.0,25.239999771118164,1390800,0,0
2022-05-17,25.010000228881836,26.1299991607666,24.735000610351562,25.84000015258789,1150200,0,0
2022-05-18,25.8700008392334,27.329999923706055,25.530000686645508,26.670000076293945,1197500,0,0
2022-05-19,26.290000915527344,28.31999969482422,26.010000228881836,27.18000030517578,667600,0,0
2022-05-20,27.6200008392334,28.315000534057617,27.209999084472656,27.75,527200,0,0
2022-05-23,27.399999618530273,27.729999542236328,26.15999984741211,26.469999313354492,514800,0,0
2022-05-24,26.010000228881836,26.200000762939453,24.420000076293945,25.309999465942383,949000,0,0
2022-05-25,24.8700008392334,25.739999771118164,24.81999969482422,25.649999618530273,698500,0,0
2022-05-26,25.90999984741211,26.31999969482422,25.190000534057617,26.170000076293945,657000,0,0
2022-05-27,26.170000076293945,26.860000610351562,25.40999984741211,26.34000015258789,363600,0,0
2022-05-31,25.93000030517578,26.260000228881836,24.670000076293945,24.729999542236328,241513,0,0
