,2021-09-30,2020-09-30,2019-09-30,2018-09-30
Research Development,299917000.0,256575000.0,246888000.0,249786000.0
Effect Of Accounting Charges,,,,
Income Before Tax,391755000.0,134706000.0,20300000.0,28656000.0
Minority Interest,,,,
Net Income,476923000.0,130695000.0,-27460000.0,51987000.0
Selling General Administrative,709968000.0,587175000.0,542094000.0,556686000.0
Gross Profit,1436057000.0,1124144000.0,930253000.0,915322000.0
Ebit,396776000.0,251681000.0,117430000.0,77500000.0
Operating Income,396776000.0,251681000.0,117430000.0,77500000.0
Other Operating Expenses,,,,
Interest Expense,-50478000.0,-58428000.0,-43047000.0,-41673000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-85168000.0,4011000.0,47760000.0,-23331000.0
Total Revenue,1807159000.0,1458415000.0,1255631000.0,1241824000.0
Total Operating Expenses,1410383000.0,1206734000.0,1138201000.0,1164324000.0
Cost Of Revenue,371102000.0,334271000.0,325378000.0,326502000.0
Total Other Income Expense Net,-5021000.0,-116975000.0,-97130000.0,-48844000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,476923000.0,130695000.0,-27460000.0,51987000.0
Net Income Applicable To Common Shares,476923000.0,130695000.0,-27460000.0,51987000.0
