,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,880167000.0,297537000.0,440885000.0,392196000.0
Minority Interest,95210000.0,71476000.0,62145000.0,55042000.0
Net Income,852895000.0,299915000.0,428972000.0,383729000.0
Selling General Administrative,66054000.0,57904000.0,60889000.0,56218000.0
Gross Profit,805141000.0,720410000.0,667256000.0,606606000.0
Ebit,360030000.0,288992000.0,261424000.0,232940000.0
Operating Income,360030000.0,288992000.0,261424000.0,232940000.0
Other Operating Expenses,16909000.0,20501000.0,17720000.0,5231000.0
Interest Expense,-84843000.0,-93442000.0,-89756000.0,-85006000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,18549000.0,-5112000.0,8686000.0,8828000.0
Total Revenue,1118621000.0,1004320000.0,983926000.0,957220000.0
Total Operating Expenses,758591000.0,715328000.0,722502000.0,724280000.0
Cost Of Revenue,313480000.0,283910000.0,316670000.0,350614000.0
Total Other Income Expense Net,520137000.0,8545000.0,179461000.0,159256000.0
Discontinued Operations,,111000.0,445000.0,3900000.0
Net Income From Continuing Ops,861618000.0,302649000.0,432199000.0,383368000.0
Net Income Applicable To Common Shares,851539000.0,298468000.0,427485000.0,382054000.0
